title,artist,album,release_date,genre,rank,chartyear
갈대의 순정,박일남,박일남 애창곡집,1967,성인가요/트로트,2,1967

갑돌이와 갑순이,김세레나,김세레나 노래선물,1967,"국악, 국악가요",3,1967

경상도 청년,김상희,"당신을 알고부터, 참사랑",1967,성인가요/트로트,4,1967

나는 곰이다,최희준,최희준 Asia's Hit Song Series,1967,성인가요/트로트,5,1967

대머리 총각,김상희,"당신을 알고부터, 참사랑",1967,성인가요/트로트,6,1967

돈이면 최고냐,남진,스테레오 독집,1967,성인가요/트로트,7,1967

돌아가는 삼각지,배호,배호의 마지막노래,1967,성인가요/트로트,8,1967

돌지않는 풍차,문주란,문주란 베스트 2,1967,발라드,9,1967

두메산골,신행일,돌아온 배호,1967,성인가요/트로트,10,1967

뜨거워서 싫어요,김상희,"당신을 알고부터, 참사랑",1967,성인가요/트로트,11,1967

마음이 고와야지,남진,남진 베스트 2,1967,성인가요/트로트,12,1967

마음이 변하기 전에,윤복희,윤복희 힛트 앨범,1967,성인가요/트로트,13,1967

먼데서 왔우다예,이상열,오리지날 힛송 총결산집,1967,성인가요/트로트,14,1967

못잊어서 또왔네,이상열,오리지날 힛송 총결산집,1967,성인가요/트로트,15,1967

몽땅 내사랑,현미,그리운 노래 가요 반세기 8집,1967,성인가요/트로트,16,1967

바보처럼 울었다,진송남,히트전집,1967,성인가요/트로트,17,1967

빛과 그림자,최희준,최희준 스타앨범 힛트 21,1967,성인가요/트로트,18,1967

사랑아 내 사랑아,태원,내사랑 어데로 / 안개속의 비밀,1967,성인가요/트로트,19,1967

사랑을 하면 예뻐져요,봉봉사중창단,노래백년 가요백년 6,1967,성인가요/트로트,20,1967

사랑의 종말,차중락,차중락 힛트 앨범,1967,성인가요/트로트,21,1967

사월이 가면,패티김,길옥윤 유작집,1967,성인가요/트로트,22,1967

삼일로,여운,여운 힛트 앨범,1967,성인가요/트로트,23,1967

새타령,김세레나,김세레나 노래선물,1967,"국악, 국악가요",24,1967

섬마을 선생님,이미자,이미자 History,1967,성인가요/트로트,25,1967

안개,정훈희,정훈희 20,1967,성인가요/트로트,26,1967

안개낀 장충단공원,배호,배호의 마지막노래,1967,성인가요/트로트,27,1967

애인,현미,아내,1967,성인가요/트로트,28,1967

야간 졸업반,금호동,그시절 그노래 4집,1967,성인가요/트로트,29,1967

엘레지의 여왕,이미자,박춘석 작곡집 (이미자 스테레오 힛트 제5집),1967,성인가요/트로트,30,1967

우수,남진,남진 베스트 2,1967,성인가요/트로트,31,1967

울려고 내가 왔나,남진,남진 골든,1967,성인가요/트로트,32,1967

울산큰애기,김상희,"당신을 알고부터, 참사랑",1967,성인가요/트로트,33,1967

웃는 얼굴 다정해도,윤복희,윤복희 힛트 앨범,1967,성인가요/트로트,34,1967

유달산아 말해다오,이미자,이미자 History,1967,성인가요/트로트,35,1967

육군 김일병,봉봉사중창단,그리운 노래 가요 반세기 8집,1967,성인가요/트로트,36,1967

임금님의 첫사랑,이미자,이미자 골든,1967,성인가요/트로트,37,1967

찻집의 부르스,성재희,오리지날 힛송 총결산집,1967,성인가요/트로트,38,1967

총각 증명서,부르벨즈,사랑은 두고가자 / 한많은 진주남강,1967,성인가요/트로트,39,1967

팔도강산,최희준,최희준 스타앨범 힛트 21,1967,성인가요/트로트,40,1967

하와이 연정,패티김,패티김 베스트 2,1967,성인가요/트로트,41,1967

흑산도 아가씨,이미자,박춘석 작곡집 (이미자 스테레오 힛트 제5집),1967,성인가요/트로트,42,1967

9월의 노래,패티김,패티김 베스트 2,1968,성인가요/트로트,1,1968

가을의 연인,태원,가을노래 모음,1968,성인가요/트로트,2,1968

가지를 마오,강소희,히트 앨범 (가지를 마오 / 무정),1968,성인가요/트로트,3,1968

강건너 등불,정훈희,정훈희 골든 힛트,1968,성인가요/트로트,4,1968

과거는 흘러갔다,여운,여운 힛트 앨범,1968,성인가요/트로트,5,1968

그리움은 가슴마다,이미자,이미자 골든,1968,성인가요/트로트,6,1968

꽃집 아가씨,봉봉사중창단,가요 박물관,1968,성인가요/트로트,7,1968

꿀밤 삼백석,박지연,박춘석 작곡집 - 춘하추동,1968,성인가요/트로트,8,1968

낙엽따라 가버린 사랑,차중락,차중락 힛트 앨범,1968,성인가요/트로트,9,1968

네잎 크로바,이규항,가요 박물관,1968,성인가요/트로트,10,1968

능금빛 순정,신행일,배호 애창곡,1968,성인가요/트로트,11,1968

단벌신사,김상희,김상희 스타앨범 21,1968,성인가요/트로트,12,1968

딜라일라,조영남,'91 조영남,1968,성인가요/트로트,13,1968

마포 종점,은방울 자매,은방울자매 전곡 BEST HIT,1968,성인가요/트로트,14,1968

멀어져 간 사랑,금호동,가고 싶은 고향,1968,성인가요/트로트,15,1968

무작정 걷고싶어,정원,"갈테면 가라지, 인생은 본전",1968,성인가요/트로트,16,1968

별빛속의 Love Letter,최희준,"2006 김기웅 작품집(창작성가,추억의 가요걸작선)",1968,성인가요/트로트,17,1968

별아 내가슴에,남진,남진 베스트 1,1968,성인가요/트로트,18,1968

사랑했는데,이미자,이미자스테레오일대작제3집,1968,성인가요/트로트,19,1968

산팔자 물팔자,이미자,박시춘 작곡집 (이렇게 될 줄 알았으면),1968,성인가요/트로트,20,1968

서울이여 안녕,이미자,이미자 골든2집,1968,성인가요/트로트,21,1968

아네모네,이미자,이미자히트 제6집,1968,성인가요/트로트,22,1968

아카시아 이별,이영숙,마지막키스/그림자,1968,"발라드, 성인가요/트로트",23,1968

여자의일생,이미자,이미자히트 제8집,1968,성인가요/트로트,24,1968

짚세기 신고 왔네,김세레나,김세레나 노래선물,1968,"국악, 국악가요",25,1968

처녀 농군,최정자,최정자 Golden Hit,1968,성인가요/트로트,26,1968

첫눈 내린 거리,이미자,이미자 골든,1968,성인가요/트로트,27,1968

코스모스 피어있는 길,김상희,김상희 스타앨범 21,1968,성인가요/트로트,28,1968

황혼의 블루스,이미자,이미자 골든,1968,성인가요/트로트,29,1968

가을이 오기전에,이영숙,마지막키스/그림자,1969,성인가요/트로트,1,1969

강촌에 살고싶네,나훈아,나훈아 베스트 2,1969,성인가요/트로트,2,1969

그림자,이영숙,마지막키스/그림자,1969,성인가요/트로트,3,1969

그 사람,키보이스,골드 (바닷가의 추억),1969,성인가요/트로트,4,1969

금산아가씨,김하정,2004 김하정의 모든것,1969,성인가요/트로트,5,1969

긴 세월,나훈아,나훈아 베스트 1,1969,성인가요/트로트,6,1969

꽃타령,김세레나,김세레나 노래선물,1969,"국악, 국악가요",7,1969

님 그리워,나훈아,트롯트 세상 1,1969,성인가요/트로트,8,1969

님아,펄 시스터즈,펄 시스터즈,1969,R&B/Soul,9,1969

당신,신행일,배호 애창곡,1969,성인가요/트로트,10,1969

두글자,박건,오리지날 힛송 총결산집,1969,성인가요/트로트,11,1969

떠나야할 그 사람,펄 시스터즈,펄 시스터즈,1969,R&B/Soul,12,1969

미워도 다시 한번,남진,남진 베스트 1,1969,성인가요/트로트,13,1969

미워하지 마세요,이영숙,70 & 80 Best Songs 3,1969,성인가요/트로트,14,1969

부모,유주용,가요 박물관,1969,성인가요/트로트,15,1969

빗속의 여인,펄 시스터즈,Sin Joong-Hyun & Soul Sound Album,1969,성인가요/트로트,16,1969

빨간 선인장,김상희,"당신을 알고부터, 참사랑",1969,성인가요/트로트,17,1969

사나이부르스,배성,오리지날 힛송 총결산집,1969,성인가요/트로트,18,1969

사람나고 돈났지,남진,남진 골든,1969,성인가요/트로트,19,1969

사랑은 계절따라,박건,박건 대표곡 모음,1969,성인가요/트로트,20,1969

사랑은 눈물의 씨앗,나훈아,나훈아 베스트 2,1969,성인가요/트로트,21,1969

사랑의 역사,유지성,카페 25시 1,1969,성인가요/트로트,22,1969

사랑하는 마리아,패티김,패티김 45주년 라이브 콘서트: I Did It My Way(Live At The Sejong Center For The Performing Arts),1969,발라드,23,1969

서울의 찬가,패티김,패티김 베스트 2,1969,성인가요/트로트,24,1969

석류의 계절,정은숙,한국가요사 9집,1969,성인가요/트로트,25,1969

성주풀이,김세레나,김세레나 노래선물,1969,"국악, 국악가요",26,1969

세상만사 뜻대로 안될때,현미,스테레오 힛트멜로디 4집,1969,성인가요/트로트,27,1969

웨딩 드레스,한상일,가요백년사(歌謠百年史) 다시 듣고싶은 그 시절 그 노래...,1969,성인가요/트로트,28,1969

잊을 수만 있다면,강소희,히트 앨범 (가지를 마오 / 무정),1969,성인가요/트로트,29,1969

주란꽃,문주란,가요 박물관,1969,성인가요/트로트,30,1969

짧은 머리 짧은 치마,최희준,하중희 - 골든 앨범,1969,성인가요/트로트,31,1969

천리길,나훈아,나훈아 골든,1969,성인가요/트로트,32,1969

추억의 소렌자라,유주용,번안가요 옴니버스,1969,성인가요/트로트,33,1969

커피 한 잔,펄 시스터즈,펄 시스터즈,1969,R&B/Soul,34,1969

하얀손수건,트윈 폴리오,The Musician Series G,1969,포크/블루스,35,1969

한번 준 마음인데,이미자,박춘석 작곡집 (이미자st. 9집),1969,성인가요/트로트,36,1969

가는 정 오는 정,남정희,백영호 작곡집 (슬피 울었지),1970,성인가요/트로트,1,1970

그사람 바보야,정훈희,정훈희 골든 힛트,1970,성인가요/트로트,2,1970

그정 못잊어,나훈아,나훈아,1970,성인가요/트로트,3,1970

난이야,이상열,오리지날 힛송 총결산집,1970,성인가요/트로트,4,1970

늦기전에,김추자,신중현 작품집 김추자 (늦기전에),1970,록/메탈,5,1970

당신은 철새,김부자,히트 전집,1970,성인가요/트로트,6,1970

람디담디담,패티김,앵콜 힛트송 1집,1970,성인가요/트로트,7,1970

망향,배성,망향 / 부두 아가씨,1970,성인가요/트로트,8,1970

무정한여인,배성,오리지날 힛송 총결산집,1970,성인가요/트로트,9,1970

바보같은 사나이,나훈아,나훈아 골든,1970,성인가요/트로트,10,1970

범띠 아가씨,양미란,가요 박물관,1970,"발라드, 성인가요/트로트",11,1970

비둘기 집,투에이스,금과 은의 나비,1970,성인가요/트로트,12,1970

사랑이란 두글자,패티김,패티김 베스트 1,1970,성인가요/트로트,13,1970

사랑하는 당신이,패티김,앵콜 힛트송 1집,1970,성인가요/트로트,14,1970

서산 갯마을,조미미,조미미의 애창곡,1970,성인가요/트로트,15,1970

소양강처녀,김태희,소양강처녀 / 밤차로 떠난 사람,1970,성인가요/트로트,16,1970

슬퍼도 떠나주마,펄 시스터즈,박춘석 작곡집 (슬퍼도 떠나주마),1970,성인가요/트로트,17,1970

