title,artist,album,release_date,genre,rank,chartyear
그대는 가고,차중락,차중락 힛트 앨범,1974,성인가요/트로트,4,1974

그대없이는 못살아,패티김,패티김 베스트 1,1974,성인가요/트로트,5,1974

그대여,이영석,그대여,1974,성인가요/트로트,6,1974

"그리워라 (박카스D CF 최민식, 임수정편)",현경과 영애,현경과 영애 1집,1974,포크/블루스,7,1974

꽃보다 귀한 여인,송창식,송창식 16 (창밖에는 비 오고요),1974,포크/블루스,8,1974

나 그대에게 모두 드리리,이장희,이장희,1974,포크/블루스,9,1974

내 노래에 날개가 있다면,윤지영,가요 골든 힛트 제4집,1974,발라드,10,1974

